,tp,lnsp,temp19,temp9,temp2,temp0,u19,u9,u2,u0,v19,v9,v2,v0,sza,tp_mean,tp_sd,balloon,abs_gwmf
73,0.0001294093,11.523601,197.41368,246.90775,288.94092,300.3036,10.137417,-9.119156,-2.1866307,-2.471511,2.4601314,-4.932029,-0.2116383,-0.19895333,105.804695,0.00011332404,0.00017887575,1,0.0011143159
74,2.9945953e-05,11.524114,196.90274,247.02527,288.9613,300.317,10.170542,-8.904502,-2.373459,-2.414535,2.3380384,-4.9637413,-0.20846705,-0.2829912,91.54842,0.00012761253,0.00023502963,1,0.0005859203
75,2.4598461e-05,11.524626,196.39178,247.1428,288.98172,300.33035,10.203668,-8.689848,-2.5602875,-2.357559,2.2159457,-4.995454,-0.20529582,-0.36702904,77.29544,0.00011345238,0.00020635275,1,0.001294045
76,0.00027058308,11.524823,197.64313,247.16743,288.83743,300.19522,8.116755,-8.757424,-2.5086117,-2.1111045,1.7917924,-5.1500516,-0.10223052,-0.20291738,63.048794,0.0001468635,0.00022718574,1,0.0008751111
77,0.0011251122,11.52502,198.89447,247.19208,288.69318,300.0601,6.0298424,-8.825001,-2.4569356,-1.8646501,1.3676391,-5.30465,0.000834773,-0.038805723,48.88143,0.00028012297,0.00035537817,1,0.00087152555
78,2.4598461e-05,11.524884,200.96713,247.21037,289.17175,301.04398,4.881047,-8.288365,-1.6579463,-2.42116,0.70088595,-6.5485682,0.22282156,0.33698618,35.22039,0.0003623888,0.0005273347,1,0.000632102
79,1.8181472e-05,11.523361,200.78203,247.5137,289.16965,301.10452,4.075432,-7.538402,-1.7533481,-2.9418945,1.6911056,-6.8601427,0.8657904,0.99264,23.034195,9.368805e-05,0.00014417345,1,0.00123709
80,1.9250969e-05,11.5226345,201.49638,247.58267,289.04083,300.90955,3.408945,-7.3290486,-1.5625446,-2.69544,2.845437,-6.7768974,1.1995634,1.0822275,16.323202,0.00011242567,0.00017276694,1,0.0009565046
81,2.6737458e-05,11.521907,202.21072,247.65164,288.91205,300.7146,2.742458,-7.1196947,-1.3717412,-2.4489856,3.9997683,-6.6936526,1.5333364,1.171815,20.626083,0.00019452035,0.0002767912,1,0.0008513047
82,5.775291e-05,11.521681,202.2635,247.70724,288.80225,300.75333,2.7636585,-6.6744866,-1.251164,-2.3946595,5.803411,-5.953961,1.6205455,1.3628823,31.915846,0.00030001567,0.00046723796,1,0.00047473644
83,4.8127426e-05,11.521455,202.3163,247.76285,288.69247,300.79202,2.7848587,-6.2292786,-1.1305869,-2.3403337,7.6070533,-5.214269,1.7077546,1.5539495,45.385395,0.00042698652,0.0007204649,1,0.0007020737
84,5.775291e-05,11.521229,202.36908,247.81845,288.58267,300.83075,2.8060591,-5.7840705,-1.0100096,-2.2860076,9.410696,-4.4745774,1.7949637,1.7450167,59.445305,0.00036598233,0.0007381941,1,0.0006468541
85,6.938894e-18,11.522792,200.12962,247.95006,288.72836,301.24597,3.7163506,-4.973156,-0.058642477,-2.6225638,10.423115,-3.8926551,0.47810635,1.3406836,73.679535,0.00019764328,0.0005653046,1,0.000530058
86,2.566796e-05,11.523278,199.47087,248.0148,288.9768,300.9201,3.0816643,-3.8733861,-0.4826501,-3.3301265,10.68712,-3.0602045,0.82694274,1.918642,87.83832,0.00012650026,0.00028672346,1,0.00031734974
87,1.7111974e-05,11.523992,198.7164,248.0148,289.02606,300.89407,2.2177486,-3.975413,-0.6880288,-3.752809,10.849647,-2.5480492,0.6390468,1.918642,102.19739,8.8725574e-05,0.00020272509,1,0.00031340995
88,3.8501938e-05,11.52416,199.4392,247.96132,289.1232,300.84833,1.8308417,-4.1211658,-0.66020334,-3.852186,9.323487,-2.244403,0.6334971,1.9868237,116.18174,4.9496375e-05,0.000108544555,1,0.0003615834
89,3.6362944e-05,11.524328,200.16199,247.90782,289.2203,300.80258,1.4439346,-4.266918,-0.6323778,-3.9515626,7.797328,-1.9407568,0.62794745,2.0550053,129.58856,8.1196304e-05,0.00016281007,1,0.00038729777
90,6.938894e-18,11.524196,200.92702,247.67487,288.9754,300.90674,0.746972,-3.5341802,0.06325972,-3.80051,6.853884,-2.5979962,-0.38843492,1.6641501,141.88025,2.9218692e-05,3.9443144e-05,1,0.00038376765
91,6.938894e-18,11.523565,201.85602,247.38773,288.89023,300.84268,1.1683296,-3.1737738,0.048684455,-4.1304407,5.902512,-2.4743178,-0.3392807,1.3137281,151.66554,2.2459466e-05,3.8105372e-05,1,0.00025895363
92,6.938894e-18,11.522935,202.78502,247.10057,288.80508,300.77866,1.5896871,-2.8133671,0.034109194,-4.460372,4.9511404,-2.3506396,-0.29012647,0.96330607,155.62361,2.532572e-05,3.496683e-05,1,0.00053554814
93,6.938894e-18,11.522305,203.71402,246.81343,288.7199,300.7146,2.0110447,-2.4529607,0.01953393,-4.7903028,3.9997683,-2.2269611,-0.24097227,0.61288404,151.44702,4.1795996e-05,9.926462e-05,1,0.00052575284
94,6.938894e-18,11.522676,202.66667,246.95447,288.57303,300.71375,1.1582112,-1.2794694,0.26004922,-3.981089,4.538527,-3.4512808,-1.006522,-0.42506146,141.49985,1.240618e-05,2.4889687e-05,1,0.00051859696
95,6.938894e-18,11.522512,201.60034,246.93506,288.5085,300.8079,0.84996253,-1.0083194,0.20243414,-3.7482612,3.493251,-3.8455281,-0.71604896,-0.20481758,128.91927,1.1293902e-05,2.5473071e-05,1,0.0003672396
96,6.938894e-18,11.522347,200.534,246.91563,288.44397,300.90204,0.54171383,-0.7371694,0.14481907,-3.515433,2.4479754,-4.2397757,-0.42557588,0.015426291,115.37773,1.2620081e-05,2.5644775e-05,1,0.00032582862
97,1.7111974e-05,11.522663,200.55125,246.62718,289.07986,300.54956,0.42010635,0.095374264,-1.3599067,-4.493638,0.1366237,-3.7933,-1.3263463,0.16320895,101.29134,1.5743015e-05,2.8287404e-05,1,0.000295572
98,2.3528963e-05,11.5233755,201.18571,246.61064,289.21075,300.62006,0.6633214,0.41075197,-1.6819661,-4.866479,-1.656316,-3.8183212,-1.2536278,0.3813643,86.80529,1.758255e-05,4.1054336e-05,1,0.0005803695
99,9.625484e-06,11.524089,201.82016,246.5941,289.34167,300.69055,0.90653634,0.72612965,-2.0040255,-5.2393193,-3.4492557,-3.8433428,-1.1809094,0.5995196,72.360825,7.4864884e-06,1.0060109e-05,1,0.0005370682
100,6.6308894e-05,11.524389,202.90059,246.907,288.83813,300.65027,3.140907,2.6584861,-3.6089773,-5.036195,-4.112323,-3.4562929,-0.62418324,-0.19412792,57.961735,2.4213441e-05,4.214407e-05,1,0.0006164146
101,4.2779934e-06,11.524282,202.99698,247.03433,288.91296,300.7114,4.124458,2.830875,-3.6904943,-5.330191,-3.5954745,-3.5853095,-0.70315707,-0.028361151,43.61079,2.1732205e-05,3.9226794e-05,1,0.00025723354
102,7.4864884e-06,11.524175,203.09337,247.16165,288.98776,300.77255,5.1080084,3.0032635,-3.7720115,-5.624187,-3.0786262,-3.7143261,-0.78213084,0.13740562,29.524591,3.3539465e-05,5.355347e-05,1,0.00037392377
103,1.6042475e-05,11.524218,201.69427,247.0113,288.349,300.64523,4.962347,4.5079894,-5.062922,-5.4745164,-3.4257982,-3.339005,0.027155071,0.02246356,16.702625,5.0266422e-05,8.3000785e-05,1,0.0013675523
104,6.938894e-18,11.523687,201.8777,246.8991,288.4972,300.68552,5.8710623,4.541398,-5.040204,-6.193471,-2.9988704,-3.7197995,0.4454816,-0.50924116,11.132898,5.5186116e-05,8.149998e-05,1,0.0014469867
105,6.938894e-18,11.523057,201.78778,246.91132,288.58206,300.7186,6.8840127,4.719132,-5.407699,-6.3738775,-3.0551686,-3.803465,0.5127266,-0.48656553,19.52052,4.941082e-05,7.2050214e-05,1,0.000764332
106,7.4864884e-06,11.522896,201.74893,247.08252,288.69284,300.81354,6.916085,4.5133348,-5.422399,-6.508848,-2.9761949,-3.023892,0.2992628,-0.8368651,32.82389,3.820248e-05,4.7813654e-05,1,0.0006855111
107,4.2779934e-06,11.522735,201.7101,247.25372,288.80362,300.9085,6.9481573,4.307537,-5.4370985,-6.6438193,-2.897221,-2.244319,0.08579898,-1.1871647,47.079132,2.8405873e-05,3.100598e-05,1,0.0008161083
108,2.2459464e-05,11.5235195,201.67557,247.23502,288.83456,300.46613,6.823877,6.058151,-6.943161,-6.951179,-4.2890363,-1.9198226,-1.2489363,-1.5257355,61.325863,3.83736e-05,3.9012295e-05,1,0.00093833153
109,3.3154447e-05,11.524168,202.1453,247.18106,288.82523,300.60712,7.2541804,6.039442,-7.19573,-6.854962,-3.8472521,-1.742327,-1.3529315,-1.895583,75.72394,3.7689122e-05,4.7344147e-05,1,0.0012579048
110,6.938894e-18,11.52319,202.80347,247.25948,288.89066,300.8941,7.389151,6.043451,-7.6594424,-6.924452,-3.5751445,-1.9080938,-0.6484227,-2.2795053,89.89441,3.0245415e-05,4.4168617e-05,1,0.00054437725
111,4.2779934e-06,11.5237875,203.19695,247.3127,289.07193,300.9495,7.68582,5.5570207,-7.680824,-6.983251,-3.493825,-1.886982,-0.83608323,-2.752566,104.00593,3.276943e-05,4.5842327e-05,1,0.00043918233
112,4.2779934e-06,11.523812,202.98978,247.10194,289.00577,300.8941,7.8662267,5.742773,-7.7209144,-6.908416,-2.839359,-1.4756927,-1.1034994,-2.9683757,117.539856,3.4608966e-05,4.7475012e-05,1,0.0005279128
113,8.555987e-06,11.523838,202.78262,246.89117,288.93958,300.8387,8.046634,5.928525,-7.7610044,-6.8335805,-2.1848931,-1.0644034,-1.3709157,-3.1841853,130.26106,3.2940545e-05,5.1575997e-05,1,0.00035668447
114,3.101545e-05,11.525862,202.8301,247.04512,289.0115,300.79843,8.672044,6.619416,-7.1075315,-7.179694,-0.6155821,-0.79151386,-1.3310378,-3.235792,141.31157,4.9710285e-05,7.100445e-05,1,0.00028040545
115,2.4598461e-05,11.525432,203.08473,246.702,288.7885,300.6258,8.4649105,6.7677507,-6.8923798,-7.159649,0.31333733,-0.41228327,-1.1621433,-3.0856636,148.88991,4.979584e-05,6.6441986e-05,1,0.0005039006
116,5.4544413e-05,11.5250025,203.33939,246.35887,288.56552,300.45316,8.257776,6.916085,-6.677228,-7.1396036,1.2422568,-0.033052683,-0.9932489,-2.935535,150.14383,8.9795074e-05,0.00012301648,1,0.00040808998
